code,term
0204000H0BFAAAM,Cardicor 1.25mg tablets
0204000H0BFABAJ,Cardicor 2.5mg tablets
0204000H0BFACAK,Cardicor 3.75mg tablets
0204000H0BFADAA,Cardicor 5mg tablets
0204000H0BFAEAL,Cardicor 7.5mg tablets
0204000H0BFAFAB,Cardicor 10mg tablets
0204000H0BG,Bipranix
0204000H0BGAAAA,Bipranix 5mg tablets
0204000H0BGABAB,Bipranix 10mg tablets
0204000H0BI,Soloc
0204000H0BIAAAA,Soloc 5mg tablets
0204000H0BIABAB,Soloc 10mg tablets
0204000H0BJ,Vivacor
0204000H0BJAAAA,Vivacor 5mg tablets
0204000H0BJABAB,Vivacor 10mg tablets
0204000H0BK,Congescor
0204000H0BKAAAM,Congescor 1.25mg tablets (Tillomed)
0204000H0BKABAJ,Congescor 2.5mg tablets (Tillomed)
0204000H0BKACAM,Congescor 1.25mg tablets (Teva)
0204000H0BKADAJ,Congescor 2.5mg tablets (Teva)
0204000K0,Metoprolol tartrate
0204000K0AA,Metoprolol tartrate
0204000K0AAAAAA,Metoprolol 5mg/5ml solution for injection ampoules
0204000K0AAABAB,Metoprolol 50mg tablets
0204000K0AAACAC,Metoprolol 100mg tablets
0204000K0AAADAD,Metoprolol 200mg modified-release tablets
0204000K0AAAFAF,Metoprolol 12.5mg capsules
0204000K0AAAMAM,Metoprolol 10mg/5ml oral liquid
0204000K0AAANAN,Metoprolol 5mg/5ml oral liquid
0204000K0AAAPAP,Metoprolol 2.5mg/5ml oral solution
0204000K0AAAQAQ,Metoprolol 100mg/5ml oral solution
0204000K0AAARAR,Metoprolol 40mg/5ml oral solution
0204000K0AAASAS,Metoprolol 25mg/5ml oral liquid
0204000K0AAATAT,Metoprolol 50mg/5ml oral suspension
0204000K0AAAWAW,Metoprolol 125mg/5ml oral solution
0204000K0AAAYAY,Metoprolol 15mg/5ml oral solution
0204000K0AAAZAZ,Metoprolol 20mg/5ml oral liquid
0204000K0AABABA,Metoprolol 3.33mg/5ml oral solution
0204000K0AABBBB,Metoprolol 6.25mg/5ml oral solution
0204000K0AABCBC,Metoprolol 62.5mg/5ml oral solution
0204000K0AABFBF,Metoprolol 16mg/5ml oral solution
0204000K0AABGBG,Metoprolol 8mg/5ml oral solution
0204000K0AABHBH,Metoprolol 30mg/5ml oral solution
0204000K0AABIBI,Metoprolol 31.25mg/5ml oral solution
0204000K0AABJBJ,Metoprolol 17mg/5ml oral solution
